,filename,dog_sig1,dog_sig2,dog_amp1,dog_amp2,dog_center,dog_image_size,dog_target_std,gabor_sigma,gabor_theta,gabor_Lambda,gabor_psi,gabor_gamma,gabor_center,gabor_image_size,gabor_target_std,dog_model_loss,gabor_model_loss,best_model
0,supRN50_conv1_21_g4_60e_e35_filter_np_arr_0,2.397899627685547,18.737337112426758,0.4254784882068634,-0.059710875153541565,1.221578598022461,"(21, 21)",1.0,3.02921986579895,1.5188463926315308,16.475261688232422,0.3694988489151001,1.1457490921020508,2.8906784057617188,"(21, 21)",1.0,"tensor(-4.6435, grad_fn=<NegBackward>)","tensor(-4.5638, grad_fn=<NegBackward>)",dog
1,supRN50_conv1_21_g4_60e_e35_filter_np_arr_1,5.1789751052856445,20.696815490722656,0.1953180581331253,0.3097929358482361,-3.3244845867156982,"(21, 21)",1.0,10.031580924987793,1.5766332149505615,19.7725772857666,2.846475839614868,2.5700981616973877,1.9975979328155518,"(21, 21)",1.0,"tensor(-4.4764, grad_fn=<NegBackward>)","tensor(-5.2503, grad_fn=<NegBackward>)",gab
2,supRN50_conv1_21_g4_60e_e35_filter_np_arr_2,2.9931676387786865,14.878400802612305,0.21953822672367096,0.24700827896595,2.9761619567871094,"(21, 21)",1.0,4.942759037017822,-0.07574480026960373,15.699657440185547,0.7781847715377808,1.8921680450439453,2.3290493488311768,"(21, 21)",1.0,"tensor(-4.1715, grad_fn=<NegBackward>)","tensor(-4.0579, grad_fn=<NegBackward>)",dog
3,supRN50_conv1_21_g4_60e_e35_filter_np_arr_3,1.0142995119094849,18.062700271606445,0.22857524454593658,0.25538310408592224,0.4111483693122864,"(21, 21)",1.0,5.845559120178223,0.8102930188179016,7.954577445983887,1.6362133026123047,3.919264793395996,2.1714649200439453,"(21, 21)",1.0,"tensor(-2.4506, grad_fn=<NegBackward>)","tensor(-3.5339, grad_fn=<NegBackward>)",gab
4,supRN50_conv1_21_g4_60e_e35_filter_np_arr_4,1.1487200260162354,18.559335708618164,-0.204949751496315,-0.08071105927228928,1.5249378681182861,"(21, 21)",1.0,3.0,-0.0049955337308347225,6.932403564453125,4.01769495010376,1.3418749570846558,0.9443355202674866,"(21, 21)",1.0,"tensor(-3.7774, grad_fn=<NegBackward>)","tensor(-4.9897, grad_fn=<NegBackward>)",gab
5,supRN50_conv1_21_g4_60e_e35_filter_np_arr_5,1.637548565864563,18.332332611083984,0.2549225687980652,0.22928482294082642,1.0406025648117065,"(21, 21)",1.0,3.0,0.07070701569318771,8.951714515686035,1.852037787437439,1.230279564857483,3.723881721496582,"(21, 21)",1.0,"tensor(-3.2173, grad_fn=<NegBackward>)","tensor(-4.8403, grad_fn=<NegBackward>)",gab
6,supRN50_conv1_21_g4_60e_e35_filter_np_arr_6,4.225845813751221,17.17156410217285,0.2819600999355316,0.17560818791389465,5.861886978149414,"(21, 21)",1.0,6.2096405029296875,-0.9347748756408691,19.860977172851562,1.2608330249786377,1.9756382703781128,2.6327242851257324,"(21, 21)",1.0,"tensor(-4.3059, grad_fn=<NegBackward>)","tensor(-4.5949, grad_fn=<NegBackward>)",gab
7,supRN50_conv1_21_g4_60e_e35_filter_np_arr_7,4.616197109222412,19.782119750976562,0.07155869901180267,0.3281031548976898,0.8303446173667908,"(21, 21)",1.0,5.32530403137207,-0.14390623569488525,15.73905086517334,6.918905258178711,0.4868811070919037,10.682302474975586,"(21, 21)",1.0,"tensor(-3.5851, grad_fn=<NegBackward>)","tensor(-3.9473, grad_fn=<NegBackward>)",gab
8,supRN50_conv1_21_g4_60e_e35_filter_np_arr_8,2.4939820766448975,17.49481773376465,-0.2770475149154663,-0.14687401056289673,3.5245466232299805,"(21, 21)",1.0,3.962766170501709,0.8892249464988708,16.041902542114258,2.589959144592285,1.7234171628952026,0.7737332582473755,"(21, 21)",1.0,"tensor(-4.8529, grad_fn=<NegBackward>)","tensor(-4.8411, grad_fn=<NegBackward>)",dog
9,supRN50_conv1_21_g4_60e_e35_filter_np_arr_9,4.453965187072754,8.298758506774902,-0.12446422129869461,-0.3720288574695587,-7.349323749542236,"(21, 21)",1.0,7.145513534545898,1.5609593391418457,21.553247451782227,4.143718719482422,0.9727708697319031,2.0286147594451904,"(21, 21)",1.0,"tensor(-4.7385, grad_fn=<NegBackward>)","tensor(-5.0171, grad_fn=<NegBackward>)",gab
10,supRN50_conv1_21_g4_60e_e35_filter_np_arr_10,1.8629249334335327,18.2825984954834,0.3322785794734955,0.18867498636245728,1.3999203443527222,"(21, 21)",1.0,3.4239346981048584,-0.4144366681575775,12.056882858276367,-0.051560524851083755,1.835054636001587,1.1821438074111938,"(21, 21)",1.0,"tensor(-4.0600, grad_fn=<NegBackward>)","tensor(-4.1917, grad_fn=<NegBackward>)",gab
11,supRN50_conv1_21_g4_60e_e35_filter_np_arr_11,1.1601125001907349,18.610883712768555,-0.2078884243965149,-0.08381611853837967,1.1935453414916992,"(21, 21)",1.0,3.0,0.7567096948623657,9.376263618469238,2.8847200870513916,2.7015461921691895,0.5643678307533264,"(21, 21)",1.0,"tensor(-4.5546, grad_fn=<NegBackward>)","tensor(-4.7253, grad_fn=<NegBackward>)",gab
12,supRN50_conv1_21_g4_60e_e35_filter_np_arr_12,2.6596057415008545,15.433191299438477,0.3619746267795563,0.17300119996070862,2.4576523303985596,"(21, 21)",1.0,3.573122024536133,0.6583364009857178,16.33175277709961,-0.0199600700289011,1.513230323791504,1.389751672744751,"(21, 21)",1.0,"tensor(-5.0958, grad_fn=<NegBackward>)","tensor(-4.9755, grad_fn=<NegBackward>)",dog
13,supRN50_conv1_21_g4_60e_e35_filter_np_arr_13,6.952178955078125,21.0,0.0896092876791954,0.3326460123062134,-3.6510396003723145,"(21, 21)",1.0,8.087102890014648,0.7220505475997925,17.502321243286133,1.759047031402588,1.4464162506611089e-11,3.734466552734375,"(21, 21)",1.0,"tensor(-4.2302, grad_fn=<NegBackward>)","tensor(-4.0187, grad_fn=<NegBackward>)",dog
14,supRN50_conv1_21_g4_60e_e35_filter_np_arr_14,2.16853404045105,18.739425659179688,-0.255327045917511,-0.13628816604614258,0.9670952558517456,"(21, 21)",1.0,3.523193597793579,0.7126028537750244,14.87732219696045,3.1179046630859375,1.8209199905395508,1.902822494506836,"(21, 21)",1.0,"tensor(-4.8703, grad_fn=<NegBackward>)","tensor(-4.8661, grad_fn=<NegBackward>)",dog
15,supRN50_conv1_21_g4_60e_e35_filter_np_arr_15,1.1711641550064087,16.282625198364258,0.346703439950943,0.10002075135707855,1.8692015409469604,"(21, 21)",1.0,3.0,0.0006313362973742187,7.312047958374023,-0.46745195984840393,1.3306763172149658,2.0147900581359863,"(21, 21)",1.0,"tensor(-4.0114, grad_fn=<NegBackward>)","tensor(-5.1200, grad_fn=<NegBackward>)",gab
16,supRN50_conv1_21_g4_60e_e35_filter_np_arr_16,5.1675310134887695,21.0,0.03555082157254219,-0.42951658368110657,0.023535914719104767,"(21, 21)",1.0,3.429373025894165,0.18598511815071106,18.537202835083008,0.3150765597820282,0.5448967814445496,5.692224979400635,"(21, 21)",1.0,"tensor(-3.6337, grad_fn=<NegBackward>)","tensor(-3.6413, grad_fn=<NegBackward>)",gab
