,filename,dog_sig1,dog_sig2,dog_amp1,dog_amp2,dog_center,dog_image_size,dog_target_std,gabor_sigma,gabor_theta,gabor_Lambda,gabor_psi,gabor_gamma,gabor_center,gabor_image_size,gabor_target_std,dog_model_loss,gabor_model_loss,best_model
0,supRN50_conv1_21_g0_60e_e35_filter_np_arr_0,3.2891879081726074,18.692716598510742,0.2229124903678894,0.237374410033226,-0.9216944575309753,"(21, 21)",1.0,5.268125057220459,1.4847846031188965,15.805451393127441,1.7247294187545776,1.3864824771881104,2.126131772994995,"(21, 21)",1.0,"tensor(-4.1494, grad_fn=<NegBackward>)","tensor(-4.9638, grad_fn=<NegBackward>)",gab
1,supRN50_conv1_21_g0_60e_e35_filter_np_arr_1,0.7409208416938782,18.04878807067871,0.4235970377922058,0.07026407122612,0.052265722304582596,"(21, 21)",1.0,3.0,2.0068068504333496,5.148810863494873,1.3923543691635132,1.8926235437393188,1.5420379638671875,"(21, 21)",1.0,"tensor(-3.5418, grad_fn=<NegBackward>)","tensor(-5.0332, grad_fn=<NegBackward>)",gab
2,supRN50_conv1_21_g0_60e_e35_filter_np_arr_2,0.6304758787155151,18.536291122436523,0.43710586428642273,0.05839037522673607,0.988494873046875,"(21, 21)",1.0,3.0,1.0451734066009521,4.421675682067871,0.8061427474021912,2.1254844665527344,2.0000526905059814,"(21, 21)",1.0,"tensor(-3.7603, grad_fn=<NegBackward>)","tensor(-4.9754, grad_fn=<NegBackward>)",gab
3,supRN50_conv1_21_g0_60e_e35_filter_np_arr_3,2.836947202682495,18.740068435668945,0.42611977458000183,0.09315350651741028,0.6306222677230835,"(21, 21)",1.0,3.695333957672119,-0.7586159706115723,17.779050827026367,-0.05275349318981171,1.3669116497039795,1.1816885471343994,"(21, 21)",1.0,"tensor(-5.0027, grad_fn=<NegBackward>)","tensor(-4.9096, grad_fn=<NegBackward>)",dog
4,supRN50_conv1_21_g0_60e_e35_filter_np_arr_4,1.7886061668395996,18.745269775390625,-0.23089614510536194,-0.09331545978784561,0.9047015905380249,"(21, 21)",1.0,3.0,1.6748528480529785,12.572281837463379,2.747612953186035,1.355305552482605,1.4064935445785522,"(21, 21)",1.0,"tensor(-4.9546, grad_fn=<NegBackward>)","tensor(-5.0424, grad_fn=<NegBackward>)",gab
5,supRN50_conv1_21_g0_60e_e35_filter_np_arr_5,0.7241520881652832,18.673025131225586,-0.212558776140213,-0.031033173203468323,1.251305103302002,"(21, 21)",1.0,3.0,1.976556420326233,4.764615058898926,2.9498300552368164,1.9644391536712646,1.075394868850708,"(21, 21)",1.0,"tensor(-3.8975, grad_fn=<NegBackward>)","tensor(-4.9020, grad_fn=<NegBackward>)",gab
6,supRN50_conv1_21_g0_60e_e35_filter_np_arr_6,2.7813031673431396,18.726869583129883,-0.21642069518566132,-0.16379590332508087,1.4506150484085083,"(21, 21)",1.0,4.674637794494629,-0.015057790093123913,15.743290901184082,4.569549083709717,1.4149800539016724,2.1462860107421875,"(21, 21)",1.0,"tensor(-4.1057, grad_fn=<NegBackward>)","tensor(-5.1143, grad_fn=<NegBackward>)",gab
7,supRN50_conv1_21_g0_60e_e35_filter_np_arr_7,1.425727128982544,18.764572143554688,-0.2502163052558899,-0.021911175921559334,1.4823806285858154,"(21, 21)",1.0,3.0,0.3929458558559418,12.210588455200195,2.7933919429779053,2.012037515640259,1.127225399017334,"(21, 21)",1.0,"tensor(-5.1287, grad_fn=<NegBackward>)","tensor(-5.0602, grad_fn=<NegBackward>)",dog
8,supRN50_conv1_21_g0_60e_e35_filter_np_arr_8,3.7862415313720703,18.771188735961914,-0.23799960315227509,-0.19808579981327057,-2.39953875541687,"(21, 21)",1.0,6.161785125732422,-1.5649338960647583,17.306806564331055,1.197137475013733,1.5626418590545654,2.149240493774414,"(21, 21)",1.0,"tensor(-4.2057, grad_fn=<NegBackward>)","tensor(-5.0408, grad_fn=<NegBackward>)",gab
9,supRN50_conv1_21_g0_60e_e35_filter_np_arr_9,2.3095128536224365,18.634225845336914,-0.2594555616378784,-0.09541761130094528,1.6120387315750122,"(21, 21)",1.0,3.0,0.2699486315250397,14.638798713684082,2.908121109008789,1.2585052251815796,2.099602222442627,"(21, 21)",1.0,"tensor(-4.9973, grad_fn=<NegBackward>)","tensor(-4.9431, grad_fn=<NegBackward>)",dog
10,supRN50_conv1_21_g0_60e_e35_filter_np_arr_10,2.491163492202759,19.17225456237793,0.41027238965034485,-0.09963371604681015,1.3818330764770508,"(21, 21)",1.0,3.0,-1.482216238975525,15.746200561523438,0.053647033870220184,1.094114899635315,1.6832945346832275,"(21, 21)",1.0,"tensor(-5.0385, grad_fn=<NegBackward>)","tensor(-4.8889, grad_fn=<NegBackward>)",dog
11,supRN50_conv1_21_g0_60e_e35_filter_np_arr_11,1.554524302482605,17.77825164794922,0.16079698503017426,0.3094467222690582,-0.05537668243050575,"(21, 21)",1.0,3.0,0.26711219549179077,11.680584907531738,2.6763904094696045,1.2674884796142578,2.259321689605713,"(21, 21)",1.0,"tensor(-2.5391, grad_fn=<NegBackward>)","tensor(-5.1203, grad_fn=<NegBackward>)",gab
